BEGIN	SNAME
mantovani_136bus
END	-999

BEGIN	SBASE [kVA]
1000.0
END	-999

BEGIN	COSTS
#Penalty and losses ($/MWh)
1E+04	35
END	-999

BEGIN	BUSES
0;subs_0;13.8;0.93;1.05
8;subs_1;13.8;0.93;1.05
11;subs_2;13.8;0.93;1.05
14;subs_3;13.8;0.93;1.05
16;subs_4;13.8;0.93;1.05
19;subs_5;13.8;0.93;1.05
22;subs_6;13.8;0.93;1.05
23;subs_7;13.8;0.93;1.05
1;bus_1;13.8;0.93;1.05
2;bus_2;13.8;0.93;1.05
3;bus_3;13.8;0.93;1.05
4;bus_4;13.8;0.93;1.05
5;bus_5;13.8;0.93;1.05
6;bus_6;13.8;0.93;1.05
7;bus_7;13.8;0.93;1.05
9;bus_8;13.8;0.93;1.05
10;bus_9;13.8;0.93;1.05
12;bus_10;13.8;0.93;1.05
13;bus_11;13.8;0.93;1.05
15;bus_12;13.8;0.93;1.05
17;bus_13;13.8;0.93;1.05
18;bus_14;13.8;0.93;1.05
20;bus_15;13.8;0.93;1.05
21;bus_16;13.8;0.93;1.05
24;bus_17;13.8;0.93;1.05
25;bus_18;13.8;0.93;1.05
26;bus_19;13.8;0.93;1.05
27;bus_20;13.8;0.93;1.05
28;bus_21;13.8;0.93;1.05
29;bus_22;13.8;0.93;1.05
30;bus_23;13.8;0.93;1.05
32;bus_24;13.8;0.93;1.05
33;bus_25;13.8;0.93;1.05
34;bus_26;13.8;0.93;1.05
35;bus_27;13.8;0.93;1.05
36;bus_28;13.8;0.93;1.05
37;bus_29;13.8;0.93;1.05
38;bus_30;13.8;0.93;1.05
39;bus_31;13.8;0.93;1.05
40;bus_32;13.8;0.93;1.05
41;bus_33;13.8;0.93;1.05
42;bus_34;13.8;0.93;1.05
43;bus_35;13.8;0.93;1.05
44;bus_36;13.8;0.93;1.05
45;bus_37;13.8;0.93;1.05
46;bus_38;13.8;0.93;1.05
48;bus_39;13.8;0.93;1.05
49;bus_40;13.8;0.93;1.05
50;bus_41;13.8;0.93;1.05
51;bus_42;13.8;0.93;1.05
52;bus_43;13.8;0.93;1.05
53;bus_44;13.8;0.93;1.05
54;bus_45;13.8;0.93;1.05
55;bus_46;13.8;0.93;1.05
56;bus_47;13.8;0.93;1.05
57;bus_48;13.8;0.93;1.05
58;bus_49;13.8;0.93;1.05
59;bus_50;13.8;0.93;1.05
61;bus_51;13.8;0.93;1.05
62;bus_52;13.8;0.93;1.05
63;bus_53;13.8;0.93;1.05
64;bus_54;13.8;0.93;1.05
65;bus_55;13.8;0.93;1.05
67;bus_56;13.8;0.93;1.05
68;bus_57;13.8;0.93;1.05
69;bus_58;13.8;0.93;1.05
70;bus_59;13.8;0.93;1.05
71;bus_60;13.8;0.93;1.05
72;bus_61;13.8;0.93;1.05
73;bus_62;13.8;0.93;1.05
75;bus_63;13.8;0.93;1.05
76;bus_64;13.8;0.93;1.05
77;bus_65;13.8;0.93;1.05
78;bus_66;13.8;0.93;1.05
80;bus_67;13.8;0.93;1.05
81;bus_68;13.8;0.93;1.05
82;bus_69;13.8;0.93;1.05
83;bus_70;13.8;0.93;1.05
84;bus_71;13.8;0.93;1.05
85;bus_72;13.8;0.93;1.05
86;bus_73;13.8;0.93;1.05
87;bus_74;13.8;0.93;1.05
121;bus_75;13.8;0.93;1.05
122;bus_76;13.8;0.93;1.05
123;bus_77;13.8;0.93;1.05
124;bus_78;13.8;0.93;1.05
125;bus_79;13.8;0.93;1.05
127;bus_80;13.8;0.93;1.05
128;bus_81;13.8;0.93;1.05
129;bus_82;13.8;0.93;1.05
130;bus_83;13.8;0.93;1.05
131;bus_84;13.8;0.93;1.05
133;bus_85;13.8;0.93;1.05
134;bus_86;13.8;0.93;1.05
135;bus_87;13.8;0.93;1.05
136;bus_88;13.8;0.93;1.05
137;bus_89;13.8;0.93;1.05
138;bus_90;13.8;0.93;1.05
139;bus_91;13.8;0.93;1.05
141;bus_92;13.8;0.93;1.05
142;bus_93;13.8;0.93;1.05
143;bus_94;13.8;0.93;1.05
144;bus_95;13.8;0.93;1.05
145;bus_96;13.8;0.93;1.05
146;bus_97;13.8;0.93;1.05
147;bus_98;13.8;0.93;1.05
148;bus_99;13.8;0.93;1.05
149;bus_100;13.8;0.93;1.05
150;bus_101;13.8;0.93;1.05
152;bus_102;13.8;0.93;1.05
